titulo; descricao; data_ida; data_volta; id_instituicao; id_endereco; id_rota_ida; id_rota_volta; id_usuario_responsavel
Dialogo Público da Desestatização do Porto de Santos; O objetivo é promover um Diálogo Público para tratar dos estudos relativos à desestatização do Porto de Santos e que foi submetida à avaliação do Tribunal.; 2022-10-31; 2022-11-04; 9; 7; 19; 20; 3
2ª Etapa do Programa Nacional de Prevenção à Corrupção: Transparência; O objetivo é estimular a criação de processo de gerenciamento de riscos e mecanismos de controle interno para a prevenção e o combate à fraude e à corrupção.; 2022-10-20; 2022-10-25; 7; 2; 29; 30; 4
Seminário Internacional de Contas Públicas; O objetivo do seminário é promover o debate sobre a modernização das finanças públicas no Brasil; 2022-09-19; 2022-09-22; 17; 11; 5; 6; 10
Webinário InfraTCU - Matriz de Riscos em Contratos de Delegação de Infraestrutura; Estarão em debate, entre outros temas: aspectos jurídicos e econômicos da alocação de riscos em contratos de infraestrutura, estratégias de alocação de riscos (Teoria da Álea e cláusulas contratuais).; 2022-09-01; 2022-09-05; 22; 18; 9; 10; 15
Webinário - Mudanças Climáticas e Infraestrutura Sob o Aspecto Social; Com o objetivo de uma visão ampla e sistemática do tema de modo a incentivar ulteriores desdobramentos e aprofundamentos, notadamente para avançar no fortalecimento da perspectiva da temática de mudanças climáticas na atuação do TCU.; 2022-08-18; 2022-08-25; 12; 1; 2; 1; 18
2ª Etapa do Programa Nacional de Prevenção à Corrupção: Controles Preventivos; Enfatizar a importância dos controles preventivos para a efetiva prevenção à corrupção, destacando pontos como estabelecimento de sistema de decisões com poderes balanceados e segregação de funções.; 2022-08-18; 2022-08-22; 24; 12; 9; 10; 25
VI Fórum Nacional de Controle; O objetivo do Fórum é abordar as principais novidades aplicadas ao Controle Externo e Interno, especificamente relacionadas aos temas “Centro de Governo”, “Governança das Contratações” e “Lei Geral de Proteção de Dados – LGPD”.; 2022-08-11; 2022-08-16; 32; 1; 2; 1; 34
Diálogo Público - Como Construir Um Ambiente Acessível Nas Organizações Públicas; O evento tem como objetivo debater, entre outras questões, a necessidade da edificação da acessibilidade nas organizações públicas como forma de incrementar a inclusão da pessoa com deficiência na sociedade.; 2022-08-04; 2022-08-08; 7; 9; 17; 18; 40
Força Tarefa Cidadã 2022 – Compromisso pela Transparência Pública; O evento tem o objetivo de apresentar os resultados das avaliações dos instrumentos de transparência dos municípios realizadas pela Força Tarefa Cidadã em 2022.; 2022-07-21; 2022-07-25; 5; 18; 9; 10; 47
Apresentação do Handbook sobre atuação das EFSs para fortalecer a Credibilidade Orçamentária; Promover um diálogo interinstitucional para apresentar as linhas gerais do projeto do handbook, com o propósito de coletar sugestões que possam subsidiar a elaboração da versão final.; 2022-07-01; 2022-07-07; 2; 16; 35; 36; 46
